l2 gear
10:36:10.632 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.989, roll: 2.092, pitch: 3.613
10:36:10.665 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.989, roll: 2.092, pitch: 3.613
10:36:10.699 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.992, roll: 1.973, pitch: 3.602
10:36:10.733 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.991, roll: 2.031, pitch: 3.606
10:36:10.733 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.602
10:36:10.768 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.991, roll: 2.088, pitch: 3.549
10:36:10.801 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.992, roll: 1.973, pitch: 3.546
10:36:10.834 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.546
10:36:10.834 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.599
10:36:10.869 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.991, roll: 2.031, pitch: 3.606
10:36:10.902 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.991, roll: 2.031, pitch: 3.606
10:36:10.937 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.602
10:36:10.937 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.599
10:36:10.970 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.994, roll: 1.969, pitch: 3.595
10:36:11.003 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.992, roll: 1.973, pitch: 3.602
10:36:11.037 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.599
10:36:11.071 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
10:36:11.071 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.539
10:36:11.106 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
10:36:11.139 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
10:36:11.174 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.991, roll: 2.031, pitch: 3.606
10:36:11.174 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.602
10:36:11.208 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
10:36:11.242 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.539
10:36:11.275 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.995, roll: 1.967, pitch: 3.536
10:36:11.275 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.992, roll: 1.973, pitch: 3.658
10:36:11.309 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.655
10:36:11.344 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.599
10:36:11.377 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.995, roll: 1.967, pitch: 3.592
10:36:11.377 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.595
10:36:11.411 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:11.444 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
10:36:11.478 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
10:36:11.478 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.546
10:36:11.512 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.546
10:36:11.546 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.995, roll: 2.080, pitch: 3.536
10:36:11.579 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.994, roll: 1.969, pitch: 3.595
10:36:11.613 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.602
10:36:11.613 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.989, roll: 1.979, pitch: 3.557
10:36:11.648 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.651
10:36:11.684 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.655
10:36:11.716 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.599
10:36:11.716 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.994, roll: 1.969, pitch: 3.595
10:36:11.751 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.651
10:36:11.785 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.658
10:36:11.819 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.991, roll: 1.975, pitch: 3.606
10:36:11.819 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.546
10:36:11.853 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.546
10:36:11.887 -> Acceleration in g's  X: -0.061, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.480
10:36:11.923 -> Acceleration in g's  X: -0.061, Y: 0.034, Z: 0.995, roll: 1.967, pitch: 3.480
10:36:11.923 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
