47:27 l2
then l4
10:45:00.786 -> Acceleration in g's  X: 0.018, Y: -0.031, Z: 0.996, roll: -1.797, pitch: -1.010
10:45:00.821 -> Acceleration in g's  X: 0.018, Y: -0.031, Z: 0.996, roll: -1.797, pitch: -1.010
10:45:00.821 -> Acceleration in g's  X: 0.020, Y: -0.034, Z: 0.994, roll: -1.969, pitch: -1.125
10:45:00.854 -> Acceleration in g's  X: 0.021, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.179
10:45:00.887 -> Acceleration in g's  X: 0.021, Y: -0.032, Z: 0.997, roll: -1.851, pitch: -1.234
10:45:00.921 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.124
10:45:00.954 -> Acceleration in g's  X: 0.021, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.179
10:45:00.954 -> Acceleration in g's  X: 0.021, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.179
10:45:00.988 -> Acceleration in g's  X: 0.020, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -1.122
10:45:01.022 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.997, roll: -1.851, pitch: -1.122
10:45:01.057 -> Acceleration in g's  X: 0.020, Y: -0.031, Z: 0.996, roll: -1.797, pitch: -1.123
10:45:01.057 -> Acceleration in g's  X: 0.020, Y: -0.031, Z: 0.995, roll: -1.799, pitch: -1.124
10:45:01.091 -> Acceleration in g's  X: 0.020, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.123
10:45:01.126 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.995, roll: -1.967, pitch: -1.068
10:45:01.160 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.010
10:45:01.160 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.998, roll: -1.905, pitch: -1.008
10:45:01.194 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -1.009
10:45:01.228 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -1.009
10:45:01.261 -> Acceleration in g's  X: 0.017, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -0.954
10:45:01.261 -> Acceleration in g's  X: 0.017, Y: -0.033, Z: 0.994, roll: -1.913, pitch: -0.956
10:45:01.295 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.994, roll: -1.913, pitch: -1.012
10:45:01.329 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.998, roll: -1.961, pitch: -1.064
10:45:01.363 -> Acceleration in g's  X: 0.021, Y: -0.031, Z: 0.996, roll: -1.797, pitch: -1.179
10:45:01.397 -> Acceleration in g's  X: 0.021, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.180
10:45:01.397 -> Acceleration in g's  X: 0.021, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.179
10:45:01.432 -> Acceleration in g's  X: 0.021, Y: -0.034, Z: 0.995, roll: -1.967, pitch: -1.180
10:45:01.465 -> Acceleration in g's  X: 0.020, Y: -0.034, Z: 0.994, roll: -1.969, pitch: -1.125
10:45:01.499 -> Acceleration in g's  X: 0.020, Y: -0.033, Z: 0.994, roll: -1.913, pitch: -1.125
10:45:01.499 -> Acceleration in g's  X: 0.020, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.123
10:45:01.532 -> Acceleration in g's  X: 0.018, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.010
10:45:01.566 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.011
10:45:01.601 -> Acceleration in g's  X: 0.017, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -0.955
10:45:01.601 -> Acceleration in g's  X: 0.017, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -0.955
10:45:01.636 -> Acceleration in g's  X: 0.016, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -0.898
10:45:01.670 -> Acceleration in g's  X: 0.016, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -0.898
10:45:01.703 -> Acceleration in g's  X: 0.017, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -0.953
10:45:01.703 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.010
10:45:01.737 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -1.066
10:45:01.771 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.067
10:45:01.805 -> Acceleration in g's  X: 0.020, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.124
10:45:01.805 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.124
10:45:01.839 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.123
10:45:01.873 -> Acceleration in g's  X: 0.021, Y: -0.031, Z: 0.997, roll: -1.795, pitch: -1.178
10:45:01.906 -> Acceleration in g's  X: 0.020, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.124
10:45:01.940 -> Acceleration in g's  X: 0.021, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.179
10:45:01.940 -> Acceleration in g's  X: 0.021, Y: -0.035, Z: 0.998, roll: -2.017, pitch: -1.176
10:45:01.974 -> Acceleration in g's  X: 0.020, Y: -0.034, Z: 0.994, roll: -1.969, pitch: -1.125
10:45:02.007 -> Acceleration in g's  X: 0.019, Y: -0.035, Z: 0.993, roll: -2.027, pitch: -1.070
10:45:02.042 -> Acceleration in g's  X: 0.019, Y: -0.036, Z: 0.993, roll: -2.084, pitch: -1.070
10:45:02.042 -> Acceleration in g's  X: 0.019, Y: -0.035, Z: 0.994, roll: -2.025, pitch: -1.069
10:45:02.075 -> Acceleration in g's  X: 0.018, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.011
10:45:02.109 -> Acceleration in g's  X: 0.018, Y: -0.032, Z: 0.994, roll: -1.857, pitch: -1.012
10:45:02.143 -> Acceleration in g's  X: 0.017, Y: -0.033, Z: 0.994, roll: -1.913, pitch: -0.956
10:45:02.143 -> Acceleration in g's  X: 0.018, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.010
10:45:02.176 -> Acceleration in g's  X: 0.018, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.011
